Russian,Kubachin
Абрикос,квaкква
Абсурд,мягIнаакква
Авторитет,хIурматла
Агент,вакил
Айва,ччимите
Активный,сейхузив
Амулет,кIа
Амулет,гьекал
Арба,ука
Аргумент,далил
Аромат,кквягI
Атлас,атIлас
Бабушка,аттаба
Бабушка,абаба
Баня,хIямям
Барабан,ттам
Баран,ква
Бархат,кьвалт
Беда,бала
Беседа,ихтират
Бок,щале
Бусы,баче
Бег,дуцI
Бегать,дуцIулхъий
Бегать,умдий
Бегом,дуцIле
Бегом,дуцIле
Бегом,дуцIле
Бесплатно,кIунал
Блестеть,рябцIбукIий
Близко,акле
Бедность,мискиндихь
Бездельник,азгъин
Безопасный,эйххеакквазиб
Безработица,гIячеакквадихь
Безразличный,агвараакквар
Белизна,цIубдихь
Береза,махъв
Беседа,ихтират
Беспорядок,хIямпIарас
Бинокль,дурнабе
Битва,дява
Битва,дигъ
Блестеть,рябцIбукIий
Близкий,акзив
Близко,акле
Близнецы,хIясан-хIусанте
Блинчики,чегьатIиб тIултIе
Богатство,давла
Богатство,масс
Богатство,хазина
Богатый,давлачибзив
Богатый,абданзив
Богатырь,багьадур
Богатырь,нарт
Богатырь,батир
Бок,шале
Болезнь,иццала
Болеть,ицций
Болото,шилкан
Болото,шилкан
Большой,хвалазиб
Большой,хвалел
Больной,иццузив
Борода,муцIуй
Бочка,чирма
Бояться,ухкквий
Браслет,кулаха
Бревно,цциххин
Бросать,лакIбидикьий
Бросать,ихьвий
Брынза,нисса
Брюки,вачаг
Брюхо,кIултIа
Буква,хIярп
Буря,бгIурум
Бутылка,шуша
Бык,ус
Бык,бугъа
Бык,ус
Бык,бугъа
Быстрый,гьалакзиб
В следующем году,гьибадус
В этом году,ейдус
Важно,бажил
Варенье,мураппа
Варить,билщий
Варить,лущий
Вата,бамба
Вверх,хъайе
Вверх,лак
Вверх,чива
Веревка,дилхан
Веселый,ццихъзив
Вещь,сикIабха
Вблизи,акле
Вблизи,щулиб
Вверх,чиб
Вверх,чилиб
Вдали,гьихъле
Весной,абла
Вечером,дярххя
Вечером,сяхIярра
Вдаль,гьихъле
Вдвое,кIвегьатте
Вдвое,кIвийка
Вдова,ккама хьунул
Вдруг,хабаракквалл
Ведьма,бяжук
Век,дяшдус
Веник,мус
Вера,дин
Верность,мардихь
Вернуть,чарбaкьий
Вернуться,чарсавхий
Верхом,муттал
Весело,ццихъле
Весна,аб
Весы,умсан
Ветка,кьяле
Ветер,хьхьур
Ветер,щгIур
Вечер,дярххя
Вечер,сяхIярра
Вещь,сикIабха
Взгляд,гьар
Вздох,сигь
Взнос,пай
Взять,гьабалчий
Вид,куц
Вид,даража
Видеть,бихккви
Видеть,тебидилжий
Вилка,чIала
Вина,такьсир
Вина,гIяяб
Вина,багьна
Виноград,тIитIе
Вкус,тIим
Вкусный,биццизиб
Власть,хIукмят
Вначале,талабилтал
Вначале,багьтал
Вначале,чикьтал
Вначале,ссибтаал
Вниз,губа
Вниз,кат
Вниз,гуле
Внутри,букквиб
Внучка,галла (йуссила) йусе
Вода,шин
Волк,бицI
Волос,гъис
Вольно,азатле
Вообще,бикIле
Вор,хъилигве
Воробей,хъалчIе
Ворона,къгIина
Ворота,къапу
Воск,бухъу муучIал
Воспитать,гьабикьий
Воспитать,бякъий
Вспоминать,гьантасабичихъий
Встать,ахъгьицций
Встать,гьицций
Впереди,талаб
Впоследствии,гьекъил
Впоследствии,гьиба
"Встретить, встретиться",тавяхъий
"Встретить, встретиться",къаршеухвий
Все,сикIал
Всегда,гьарбе
Всегда,ттурахъул
Время,замана
Время,вахт
Время от времен,уучи-учи
Время от времен,сухъ-сухъ
Вчера,сса
Выздороветь,араухвий
Выкройка,бишибиссала
Высокий,ахъзиб
Вялый,кгIижибзив
Гадалка,палче
Галька,гъягъяй
Гармонь,чанагъа
Гвоздь,гъгIумул
Где,чинаб
Где-то,чинабкIабухая
Герой,игит
Герой,гъвабза
Глава,бикI
Глава,хвалел
Гладкий,лгIугъгIунзиб
Глаза,улбе
Глина,бухъу гIянччя
Глотка,кьахха
Глубина,ццукьдихь
Глубокий,ццукьзиб
Глупец,ахмах
Глупец,абдал
Глухой,хIунцIа
Гнев,хIясидихь
Гнездо,миргв
Гнет,зулму
Гнилой,биибзиб
Говорить,гъайуквий
Год,дус
Голова,бикI
Голод,ккушдихь
Голодный,ккушзиб
Голос,тIама
Голубь,нахьва
Гора,дубур
Горе,дард
Горе,децI
Гореть,икквий
Горец,дубурлан
Горло,кьахха
Горн,дулган
Город,шагьар
Горький,кьабкьзиб
Горянка,дубурлан хьунул
Горячий,буцIейзиб
Гостиная,павла хъал
Гостиная,тавханна
Гость,ххгIул
Государство,хIукмат
Готовиться,хIядурвихвий
Гранат,анар
Грех,мунагь
Гроза,хъябхъя
Гром,къукъу
Грудь,михъай
Грустный,пашманзив
Грустный,вакьунзив
Груша,хъгIи
Губа,кIвинтI
Гусь,къваз
Грязный,биччязив
Да,гьу
Да,саб
Давать,билуччий
Давно,талал
Далеко,гьихъле
"Далекий, дальний",хIихъзив
"Далекий, дальний",хIихъзив
Дар,пишкиш
Дар,пишкиш
Дар,пишкиш
Даргинец,дарккван
Даром,тякле
Даром,няхIякь
Два,кIве
Дважды,кIвигна
Дверь,уцца
Дворец,ккялгIя
Двоюродный,уццикьай
Девушка,йуссе
Дедушка,аттата
Дедушка,абатта
Действие,баакьутте
Действие,баркьай
Делать,бийкьий
Дело,къуллукъ
День,бее
Деньги,ас
Дерево,ттутта
Держать,буси
Десять,вицI
Дети,бикIате
Дешево,дуугьал
Дешевый,дуугьазиб
Длинный,бухъинзиб
Днем,эйли
Добро,гIяхдихь
Дом,хъал
Дома,хъилиб
Домой,хъил
Донос,гIярзбaкьне
Дорога,хьуне
Дорогой,дурхъазиб
Дорогой,ихIярзиб
"Дорого, свято",дурхъал
"Дорого, свято",эбле
Досыта,вилкъадаже
Дочь,йуссе
Дракон,аждагьа
Дрожать,йуччий
Дурной,абдал
Дым,булкьа
Дым,гав
Дыня,хъабазаг
Дыра,ахьа
Дышать,сигь укIвий
Животное,жанавар
Животное,xlяйван
Жизнь,гIумру
Жир,гIягъвядихь
Жир,мутIадихь
Жить,хIирухи
Жук,мяхъв
Еда,буккин
Еж,кьитIкьа
Ежели,йахле
Еле,бара-бара
Ехать,чикижив ваши
Ещё,салйа
Ещё,гьибайа
Ещё,салйа
Ещё,гьибайа
Жаба,хIитIа
Жадный,кьиркьир
Жажда,мурждихь
Жалеть,уукIвецIидухъий
Жара,буцIейдихь
Жареный,бейцIибзиб
Жаркий,буцIезиб
Жатва,ищне
Жевать,чIямбикьий
Железо,мих
Желтый,бухъузиб
Жемчуг,игъян
Жених,ваччиб туб
Женщина,хьунул
Жеребенок,къята
Жестянка,чадиркьван
Ждать,гьекъекижий
Живой,мицIейзиб
Забава,хIяз
Забор,ххя
Заболеть,иццанухви
Забыть,хъуметий
Завет,васият
Завтра,ччавал
Заказ,хъайче
Закончить,таманбаакьи
Закончить,ттабидагъи
Закрытый,бинбукьунзиб
Закрытый,чидакьибзиб
Заметка,лишан
Заметка,макьала
Заменить,Баасбаакьи
Замок,гъулмух
Замолчать,пIяцIвечIи
Замуж,хьад
Запах,кквягI
Запись,кабжне
Запись,билкI
Зарплата,зарплата
Засада,викижне
Заснуть,вилсси
Засолить,ццилабакьий
Засуха,дигъва
Затылок,хъвянтIала
Зашить,баахий
Заяц,гъвя
Звать,вявкабечIий
Звезда,ди
Звонок,занг
Звонок,занг
Звук,тIама
Здесь,яниб
Здоровье,арадихь
Здоровье,арадихь
Зеленый,шяняшзиб
Землетрясение,ккуцциндакьне
Земля,гванза
Земля,гIянччя
Земляника,лада
Землянка,къуш
Зеркало,ляхIямцIала
Зерно,кьве
Зерно,ризкье
Зима,га
Зимой,ганилла
Зло,хъямдихь
Зло,хIясидихь
Змея,мялгIун
Знать,булхIи
Зола,ххъвисса
Золото,муте
Зрелый,бикьибзиб
Зря,нахIякь
Зря,тякле
Зуб,сула
Зять,ккияв
Игла,бииппа
Игра,хIяз
Идти,ваший
Избить,вити
Избить,верхьвий
Избранный,чигьакьивзив
Известие,хабар
Известный,якьинзиб
Известный,хабарла
Извещение,хабар
Извинить,чикейхвий
Измена,бисне
Измена,вишвешне
Изменение,тапатдихь
Изменить,дикIебакьий
Иногда,сухъ-сухъ
Изредка,сухъ-сухъ
Изредка,нагагь
Изюм,дегъуб тIитIе
Имя,зу
Иначе,дикIел
Индейка,кIуркIур
Иней,шахв
Инструмент,яракь
Интерес,тамаша
Искать,умцIий
Искра,цIарха
Испечь,бецIий
Использовать,дуццихъий
Испортить,зябакьий
Исправить,балчебакьий
Испугать,ухаттагъий
Исчезнуть,пяхгьицций
Итог,ахир
Кабан,жакьа
Каблук,каблук
Каблук,кьячIа
Каждый,гьарил
Как,сагъун
Как,сагъунне
Какой,сезиб
Какой,кучил
Как-то,сухъ
Калека,чулахъ
Камень,къаакъа
Камыш,чIихIя
Канал,жужай
Канал,къанав
Капать,кIатIкабкIий
Капкан,ппав
Капля,кIатI
Капризный,витIезив
Карандаш,кIалам
Карман,киса
Картина,сурат
Картофель,картуп
Кастрюля,гIяшак
Кипеть,йуччий
Кислый,кьацзиб
Кислота,кьанцIа
Клевать,къутIкабкIий
Клевер,гIябкIаппан
Клеить,бяссий
Клеймо,нугьру
Клеймо,ттамгъа
Ключ,умхьу
Кклятва,хъве
Книга,китаб
Кнут,гIучмяк
Ковер,тIамсса
Когда,мут
Когда-то,мут-сабил
Когда-то,мут-дил
Кожа,кам
Кожа,кабц
Кожа,куле
Козел,къяца
Колесо,уле
Комар,тIуз
Комната,хъал
Конец,ахир
Конец,таман
Контракт,вяхIда
Контракт,личIаб
Копать,укъий
Копейка,кипик
Корень,жилгIя
Корень,маркъва
Корзина,чIип
Коричневый,дулкьунзиб
Кормить,баххий
Корова,кьгIул
Корова,кьгIул
Корова,кьгIул
Коршун,къиргъа
Коса,КъгIулкъгIу
Коса,кьаче
Коснуться,тавдагъи
Коснуться,качвичи
Кость,лика
Кот,ччиту
Крапива,миц
Красивый,бгIукьязиб
Красиво,гIяляматле
Красиво,бгIукьял
Краска,ранг
Краска,ранг
Красный,итIинзиб
Краткий,кутIзиб
Крепкий,дибгазиб
Кривой,бялкIунзиб
Кричать,вяв укIий
Кровь,бе
Кролик,гъвя
Круг,ччур
крыльцо,хъайццане
Крыса,кьиркква
Крыша,чIижехъалтала
Куда-то,чина-дил
Куда-то,чина- сабил
Кузина,йуццикьай
Кукла,нача
Кукуруза,хIяжлаачIе
Кукушку,ккуккук
Кулак,кьгIуш
Купаться,чивацций
Купаться,чяхухий
Купить,ассий
Курдюк,гIяшякIум
Курица,гIягIя
Куропатка,къакъба
Куст,кьвата
Куст,гъвила
Лад,бизидихь
Ладонь,хъватI
Ладонь,бакв нӓхъ
Лампа,лампа
Лампа,чагъ
Лань,хьвинта
Ласковый,малхIямзив
Ласточка,жата
Лгать,сумкубтад ваший
Лев,арслан
Левый,хъямил
Левый,хъямилнашал
Легенда,хабар
Легкий,кукзиб
Легко,кукле
Легко,саматле
Лед,миг
Лежать,киссий
Лекарство,дарман
Лён,урбиш
Лён,
лен,душе
Лес,дуцца
Летать,гIихий
Лето,гьанешши
Летом,гьанищила
Лечить,гIяхвакьий
Ливень,ряхIмят
Линия,тугъ
Линия,къкъил
Лиса,ккутта
Лист,кIаппе
Листья,кIапне
Лицо,вяй
Лицо,йяй
лицо,бяй
Лица,дяй
Лоб,натта
Лопата,кIятIа
"Лошадь, конь",ябу
"Лошадь, конь",уче
Лужа,шя
Луна,бац
Луч,нур
Лучше,гIяхле
Любимый /ая,виккузив
Любимый /ая,йиккузий
Любить,виччи
Любить,йиччи
Любить,биччи
Любить,дичи
Любовь,дика
Люди,уй
Люди,улкка
Лягушка,хIитIа
Магазин,тукан
Магнит,макьлатIис
Мак,накьранача
Маленький,бикIазиб
Малина,зиза
Мало,камле
Мальчик,галл
Мама,аба
Манжеты,кIучме
Масло,митIе
Масло,гIягъвядихь
Матрац,буш
Мачеха,аттала хьунул
Мёд,вада
Медведь,ссика
Медленно,багьлал
Мелкий,хурдазиб
Мельница,шилкьан
Меньше,камле
Меньше,кам
Мера,умсла
Мертвый,бибкIа
Место,мусса
Месяц,бац
Меха,ссулкка
Мешать,виттеваххи
Мешать,бахбаакьи
Мешок,къап
Мешок,гьалам
Милосердие,уукIицIе
Милый,ихIярзив
Мир,дуна
Мир,бизидихь
Много,дахъле
Много,ххял
Мокрый,бяссунзиб
Молния,цIалипан
Молодой,жагьил
Молоко,ниг
Молоток,кьгIукь
Море,ухьу
Морковь,житI
Мороз,буххве
Мороз,дӱъ
Мост,ччиме
Муж,туб
Муж,адаме
Мужчина,адаме
Мука,нукьун
Муравей,димдала
Муха,тIатI
Мыло,ихъан
Мысль,пикре
Мягкий,кIянтIизиб
Мясо,диг
Мяч,ттимилихъ
Навес,пурхигула
Навстречу,хьунта
Надежда,умут
Назло,хъямбакьли
Наизусть,укIвелжиб
Найти,бааччий
Налево,хъяминнащал
Налог,харж
Написать,кабжий
Направо,гIяххиннащал
Напрасно,няхIякь
Напрасно,ттякле
Народ,халкь
Народ,улкка
Наследник,букьуй
Начало,бебидихьут
Наш,ниссила
Небо,ццаб
Невеста,йаччибхьад
Невеста,цIиквай
Неделя,ккае
Нет,юх
Нет,уу
Нет,акква
Нет,либакква
Низкий,гухъзиб
Невкусный,пяпсиб
Невкусный,тIимъакквазиб
Некрасивый,биччязиб
Неожиданно,хабаракквалл
Низкий,гухъзиб
Никак,сечIугъунне
Новинка,цIизиб
Новость,цIе хабар
Новый,цIизиб
Нога,тIгIуй
Ноготь,мика
Нож,дис
Ножницы,лукIва
Нос,къгIухъ
Носить,бикъкъий
Ночь,дучче
Ночью,дуччили
Нравиться,гIяхтакабицций
Нужно,бажил да
Нужно,саб
Нужный,бажизиб
Ныне,хена
Ныне,кIена
Нюхать,сунтIгьабикьий
Оба,кIвиял
Обед,ирилла
Обед,ире
Обеднеть,мискинухвий
Обезьяна,маймун
Обезьяна,мяммялук
Обидеться,читтевидухъий
Облик,куц
Облик,кабиц
Облако,къуажай
Облачно,къугуйле
Обмануть,вибхъий
Обменять,басбаакьий
Обморок,къагъдихь
Обнять,гъгIучIквевакьий
Обрадоваться,ццихъчегьавхий
Образец,1
Образец,1
Образец,1
Образование,билчIутте
Обратно,чарле
Обряд,гIядат
Обувь,ттаппе
Объявление,бишкаттагъне
Объяснение,эгъахъне
Овца,мацца
Огонь,цIа
Одежда,палтар
Одеть,чеахий
Однажды,сухъ
Одуванчик,аппахъус
Оживить,мицIебаакьий
Ожидать,гьегъекижий
Озеро,шя
Окно,уццидигала
Окончание,ахир
Окончание,таман
Олово,къалай
Олово,будай
Он,ит
Он,ил
Он,икI
Опрос,хьайбагъне
Опять,гьибайа
Орать,чIярукIвий
Орать,вявукIвий
Орел,чIикя
Оружие,яракь
Осёл,хIямхIя
Осень,ибхьне
Осенью,ибхьнилла
Основа,виб
Острый,бумкказиб
Остановить,тIашагъий
Остывший,бяибзиб
Отара,ттурзум
Отважный,гIяхгъвабза
Ответ,жуваб
Отдохнуть,вамццалаахъий
Отец,атта
Отчество,аттала зу
Отечество,ватIан
Отдать,квебиччий
Отдельно,дикIел
Отдельно,тикле
Отдельно,тик-тикле
Отлично,гьакал гIяхле
Отлично,гIяляматле
Открыть,таквбакьий
Открытый,таквзиб
Откуда,чинал
Отставать,гьилавичий
Отсутствие,акквадихь
Охота,гIяяр
Охотник,гIяяркья
Оценка,кьимат
Очередь,ярга
Ошибка,хатIа
Падать,кабийчий
Падчерица,вий йуссе
Палец,тIуп
Палка,мяргъя
Палка,кIаакI
Палка,дехьа
Папа,атта
Парень,къазахъгал
Пароход,парахуд
Пароход,гамии
Пастух,дукруш
Пахнуть,кквягIбукIий
Пачкать,биччябaкьий
Певец,далайче
Пена,хьамхьа
Пена,бяркя
Пена,хьулхьум
"Перевязать, завязать",бихий
"Перевязать, завязать",чиббихий
Переменить,бaсбакьий
Песня,далай
Петь,далайукIвий
Песок,къум
Печаль,щищим
Печень,дуликI
Писать,кабийжий
Письменность,билкI
Письмо,кIа
Пить,уччий
Плакать,виссий
Пища,буккин
Платье,агва
Плечо,хъачIала
Плохой,усалзив
Плохой,баразив
Плохо,хъямле
Плохо,барал
Плыть,шиндикьий
Победа,чеухъне
Поведение,шикьатIала
Погода,aгъ
Подарить,пишкишбакьий
Подарок,савгъат
Поддержка,кумак
Поддержка,гьикьала
Поделить,бутIий
Подлость,усалдихь
Поднос,тIабакI
Поднять,ахъгьабакьий
Поймать,бусий
Пойти,гIукьий
Поменять,басбaкьий
Помогать,кумакбaкьий
Понты,къугъне
Постирать,бийсий
Подруга,йусбаллайуссе
Подсказать,чибуутий
Подушка,гIянихьала
Позавчера,ссалитай
Покой,паргъатдихь
Полностью,битунне
Полный,бицIибзиб
Понимать,игъий
Пополам,кIвебаг
Послезавтра,ччавалакквамутил
Посуда,хатIавахъ
Праздник,байрам
Предмет,сикIабха
Прежний,вибзиб
Прибыль,хейре
Прибыль,пейда
Привет,салам
Привыкнуть,буссаухвий
Пригласить,вашгьаий
Приговор,хIукму
Придумать,гьантагьабаччий
Прийти,сякьий
Приказ,хIукму
Примета,лишан
Принести,какъий
Принести,какъий
Принудить,гужбакьий
Принять,кьабулбакьий
Припой,улкана
Природа,тIабиагIят
Пристально,чикиццул
Причина,багьна
Продать,бисий
Пропеллер,пяхярбукIан
Просить,тиладибикьий
Проснуться,чисалгьий
Просо,миче
Просто,либгьи
Просто,саматле
Профессия,санигIят
Прохлада,пяххгIудихь
Прохладный,сярхъинзиб
Прямой,читахьвзиб
Прятать,бягIнабакьий
Прятать,вибищий
Пусто,бацIле
Пустой,бацIзиб
Путать,дишдаххий
Путь,хьхьуне
Пшеница,ачIе
Пятка,кьгIултIуй
Пятно,ттамгъа
Пять,хьу
Раб,лагъ
Работа,гIче
Работать,викьий
Рабочий,уста
Радость,ццихъдихь
Радость,разидихь
Радостно,ццихъле
Радостно,разил
Радостный,ццихъзиб
Радостный,разизиб
Разбить,бахъвий
Разбить,билкьвий
Разговор,гъай
Разговор,ихтират
Раздать,дутIий
Раздавать,дуутIий
Различный,дикIезиб
Разом,сагьакIле
Разрешать,ихтиярбилуччий
Рана,дихъя
Раньше,сибта
Раньше,талал
Редко,кьанцциб
Река,акIв
Религия,дин
Ровный,дикьзиб
Родители,багьанте
Родиться,гьаттакIвий
Розовый,тталаранг
Ругать,мимивакьий
Ругаться,хIихий
Ружье,тупанг
Рука,няхъ
Рыба,бялихъ
Ряд,тугъ
Ряд,кьгIукья
Рядом,щулиб
Сад,бахча
Садиться,киижий
Сажать,кабaтий
Сажать,балхьвий
Санки,гъяр
Сапоги,хахул чакма
Сарай,дехъв
Сахар,чакай
Сварить,билщий
Сверкать,рябцIбукIий
Сверло,йуркка
Сверху,чилил
Свет,шала
Светлеть,шалагьаттулхъий
Светлый,шалазиб
Свеча,шам
Свидетель,бикье
Свинец,ккятун будай
Свистеть,сситукIвий
Свобода,азатдихь
Связь,бахутте
Сгореть,бикквий
Сделать,баакьий
Сегодня,иял
Седина,хIиндихь
Седло,жиле
Сейчас,бусяхIят
Село,ще
Семья,хъал
Сено,ма
Сердце,укIве
Серый,хIинзиб
Сестра,йуцце
Сзади,гьилаб
Сидеть,кижий
Сильный,цIакьзив
Сирота,ятим
Ситец,читI
Сказать,гьаий
Сказка,хабар
Складка,квика
Скоро,ихьвле
Скорый,бидяхибзиб
Скорый,гьалакзиб
Сладкий,мидизиб
Слева,хъямилнащал
След,къил
Слепой,сукъур
Слово,гъай
Случай,бухубзиб
Случайно,хабаракквал
Слушать,ляйгувачIий
Слышать,тIамабакьий
Смазать,мутIабакьий
Смех,хIяхIя
Смеяться,хIяхIяукIвий
Смотреть,чивгьий
Снаружи,тталиб
Сначала,ссибта
Сначала,багьтал
Снег,дгIухIе
Снаружи,тталиб
Снизу,гулиб
Снова,гьибайа
Снова,цIил
Собака,хве
Согласие,кьабулдихь
Сокол,къарччигъа
Солнце,бейгвала
Соленый,ццумитизиб
Соленый,ччанкказиб
Соленый,ччанкка
Соль,цце
Сомневаться,ташмишукIвий
Сон,мужил
Сон,мужейакквала
Сорт,жура
Сосед,дене
Сохнуть,бугъвий
Спать,уссий
Спокойный,паргъатзив
Спорить,ччаливикьий
Способ,тяхIяр
Способность,гьунар
Способность,пагьму
Спрос,бажилъгьаттахъне
Спросить,хьайбагъий
Спрятать,вибищий
Спутать,гьябялший
Сражаться,угъий
Сразу,бусяхIят
Срочно,гьалакле
Срочно,хъярхъле
Ссора,ччал
Сталь,чалдан
Старик,ухъна
Старый,ухъна
Старый,бухъна
Стекло,ккяттяхI
Стена,лас
Стена,ласла бяй
Ствол,ккалкка
Ствол,лула
Стирать,исий
Столб,тIал
Столб,цциххин
Стоять,тIашкицций
Стоять,кицций
Стул,гута
Суп,нейгъ
Сушить,бегъвахъий
Счастливый,талихIла
Считать,луги
Считать,хIисаббакъий
Съесть,беквий
Сытый,билкъунзиб
Сюда,яне
Тайна,бягIнадихь
Также,налилиттал
Там,иттуб
Танец,дерхъ
Тарелка,вахъ
Тарелка,хатIа
Таять,бицIий
Твердый,дибгазиб
Твой,ила
Темно,цIябгъле
Темнота,цIябгъдихь
Теплый,гьамкIзиб
Тишина,тIамаакквадихь
Ткань,мас
Ткань,бейша
Товар,мас
Товар,мятяхI
Толкать,къуртбикьий
Толпа,удаба
Толстый,бгIуцзиб
Тонкий лист,букIулзиб кIаппе
Тонкий прут,безиб мурчI
Топор,бaтта
Торопиться,гьалакухвий
Трава,кьай
Трижды,гIягна
Тропинка,тIгIуйла хьуне
Труд,къӣн
Труд,гIяче
Трудиться,викьий
Трудно,къӣнне
Трусливый,ухккузив
Туда,итту
Туман,дӣхьв
Тупой,къутIазиб
Туча,къу
Тюрьма,туснахъ
Тяжесть,бикIвдихь
Тяжело,бикIвле
Тяжело,дикIвле
Тяжелый,бикIвзиб
Убавить,камбакьий
Убить,кахьвий
Уважение,хIурмат
Уважение,хъатир
Увеличить,гьисбакьий
Увидеть,тебидижий
Увидеть,бахкквий
Ударить,бейхий
Удивиться,укIухъий
Узкий,бугьитзиб
Узор,някьиш
Уйти,виваший
Украсть,бгIиий
Уксус,кьанцIе
Улица,кьакьа
Улица,хьуне
Умереть,вибчIий
"Уметь, суметь",вихвий
"Уметь, суметь",ухвий
Умный,гIякьлуллазив
Унести,дукъий
Упасть,кичий
Упрямый,ччалухъ
Упрямый,нягIя
Урок,дарас
Уронить,кабкахъий
Усы,супил
Успех,чиухъне
Усталый,вамццузив
Устать,вамцций
Утка,бятI-бятIе
Утро,ччавалла
Утро,ццугай
Утром,ччавалла
Ухо,ляй
Учеба,билчIутте
Ученый,гIялим
Учить,бахий
Ущерб,зарал
Фартук,партукI
Фарфор,ккачI
Фасоль,хъаа
Фигура,куц
Фигура,къалип
Финик,чамисттак
Фиолетовый,манавша
Флаг,байрахъ
Фурункул,ццумагу
Халва,хIялава
Халва,матIухь
хватать,хъямагъи
хватать,ххапбакьи
Хвост,кIуме
Хитрый,гIямултар
Хищник,къарччигъа
Хлеб,тIулутI(кквейкква
Хлеб,кIаппе
Хлеб,кьвачIа
Хлеб,сулкъа)
Хлопать,хъват чидехий
Хлопок,бамба
Хмельной,киплазив
Ходить,ваший
Хозяин,вагь
Хозяин,хужаим
Холод,буххедихь
Холодный,буххезиб
Хороший,гIяхзиб
Хорошо,гIяхле
Хотеть,биччихъий
Храбрость,гъвабзадихь
Хромать,лянкIукIвий
Хромать,ЖгIуркьукIий
Худой,назиксив
Цапля,кьанкь
Царь,пача
Царь,паччяхI
Цвет,ранг
Цветок,уггве
Цветок,вава
Целиком,либ-либилал
Целиком,саннибле
Целый,саннибзиб
Целый,битунне
Цель,мурад
Цель,кьаст
Цена,багьа
Цена,кьимат
Цена,хIякь
Ценный,эбзиб
Ценный,дурхъазиб
Цепь,йахас
Цепочка,бимхха
Цинк,тутия
Чабан,дукруш
Час,сяхIят
Часть,бутIа
Часть,пай
Человек,инсан
Черемша,хIянку
Черный,ццуттезиб
Черт,шейтIан
Черт,иблис
Чинить,балчебакьий
Чинить,гIяхбакьий
Число,лугге
Чистить,абдубакьий
Чистый,абдузиб
Чтение,калучIне
Что,се
Чудо,тамаша
Чужбина,ула улкка
Чуть,бара
Чуть-чуть,бара-бара
Шабер,игъвла
Шаг,кканц
Шагать,ваший
Шагать,кканцкабицций
Шалаш,къуш
Шалаш,чатир
Шапка,кьапIа
Шелк,дараэ
Шерсть,ппала
Шиповник,гасе
Шило,дуп
Ширина,укьатдихь
Широкий,бугьитIзиб
Шить,бaхий
Шкура,кабц
Шкура,куле
Штраф,хIякIа
Штраф,иштарап
Штихель,дуп
Щебень,гъягъяй
Щедрость,сахаватдихь
Щедрый,сахаватзив
Щека,эйкъкъе
Щель,тIякь
Этаж,дях
Это,ил
Ювелир,муте-асла уста
Юла,кказ-кказе
Юмор,масхъара
Юность,жагьилдихь
Юркий,сеххузив
Юродивый,абдал
Юродивый,авлия
Ябеда,гIярзаче
Ябеда,гIярзукь
Яхонт (рубин),якьут
Янтарь,юсру
Яблоко,гьинзе
Явно,ашкарле
Ягненок,мукьаре
Яд,загьру
Яд,агъру
Яичница,хайгана
Яйцо,духъе
Ясный,абдибзиб
Ястреб,къиргъу
Ячмень,мухъе
Ящик,ящикI
Ящик,тIакьа